Mixture	AML_blast	CMP	GMP	HSC	LPC	LSC	MEP	MPP	RApos	P-value	Correlation	RMSE
13-00393	0.00824163543693747	0.0876866803587549	0.569098730698849	0.283880010547218	8.33459014296917e-05	0	0.0510095970568111	0	0	0	0.607071280342135	0.80770282307764
13-00396	0.292557174121351	0.0631670404556505	0.160410751741847	0.315453463031773	0.144369236369612	0	0	0	0.0240423342797667	0	0.273336587643659	1.02206746797092
13-00406	0	0	0.3896696512453	0.0779411211836665	0.532389227571034	0	0	0	0	0	0.151997291389148	1.11092025584072
13-00409	0	0	0.461443725211501	0.0050442455438227	0.533512029244676	0	0	0	0	0	0.184905132683534	1.1162203273569
13-00420	0	0.019887555720504	0.530444929325914	0.105114268671158	0.344553246282425	0	0	0	0	0	0.377966356152021	0.981006069481042
13-00425	0.0398243611423202	0.00158075680208609	0.00706842627328241	0.0647721742211626	0.886754281561149	0	0	0	0	0	0.205116828434948	1.08381956404824
13-00450	0.0825398667609832	0	0	0	0.608078759050474	0.0167521303717849	0.0164137791273587	0.276215464689399	0	0	0.549861624527563	0.834092493009938
13-00454	0	0.00617188243255131	0.208298990642551	0.0593609596774222	0.726168167247476	0	0	0	0	0	0.439633775299702	0.921189439310819
13-00466	0.469574099048652	0	0	0	0.147126587520964	0.0491897808933891	0	0.331630075719522	0.00247945681747299	0	0.322456544709885	0.999365734713763
13-00468	0	0.208507470184185	0.406494509334084	0.18386439980505	0.164789844791543	0	0	0	0.0363437758851375	0	0.297954533425427	1.04555288751757
13-00487	0	0.0204655107085871	0.430706464166647	0.0699430834775059	0.47888494164726	0	0	0	0	0	0.380390120874171	0.971057973879541
13-00493	0.0235848748475949	0	0.183924197493412	0	0.707797386268989	0	0	0.0846935413900048	0	0	0.579195852401855	0.816054657272061
13-00496	0	0	0.499135832261695	0	0.500864167738305	0	0	0	0	0	0.524949035268549	0.874755846681329
13-00500	0.252369660019772	0.032111860122977	0	0.0653291992368988	0.164595985303716	0.0613348318073901	0	0	0.424258463509247	0	0.225759887221389	1.01901444778167
13-00513	0	0	0.433439172346554	0.124604457936927	0.441956369716519	0	0	0	0	0	0.276616278519787	1.03110151847764
13-00515	0.075310495149846	0.0393066473882819	0.49288677221059	0.149358618174491	0.243137467076791	0	0	0	0	0	0.255055937797951	1.06427882297875
13-00522	0	0.12155548128251	0.276280617271882	0	0.394318677002752	0	0	0.207845224442856	0	0	0.35892757566418	0.964628411400389
13-00532	0	0.0240090272371011	0.217253984617704	0.15159785978238	0.590044567956163	0	0.0170945604066525	0	0	0	0.492176719451044	0.875549400673627
13-00544	0	0.039796983474561	0.60649734532857	0.0463188700768137	0.307386801120055	0	0	0	0	0	0.767511877110144	0.639996760412821
13-00545	0.128051118788619	0.0389480910448478	0.00968502141940868	0	0.381680363182044	0	0	0.44163540556508	0	0	0.329726883293197	0.956992776451748
13-00546	0.0280770020493845	0.0481759597297247	0	0	0.44992360413776	0.00659960835902142	0.0245253641065486	0.374289089735902	0.0684093718816594	0	0.417036319892426	0.910518554381308
13-00551	0.0606980048464983	0.04165156381608	0	0	0.697076341561969	0	0	0.115754135701888	0.0848199540735646	0	0.133217081138656	1.09098547262899
13-00552	0.0298854654052074	0.0341613507606938	0	0	0.0222679989997287	0.518724948476221	0	0.147952314592201	0.247007921765948	0	0.163164883052569	1.04547582194342
13-00557	0	0.0895421029605612	0.48845692896218	0.0565234849487233	0.310422703105942	0	0	0	0.0550547800225933	0	0.358662380739005	0.999074834191639
13-00558	0	0.0543506599192647	0.354465854089163	0.0552180481219741	0.535965437869598	0	0	0	0	0	0.309985271814999	1.01573501277809
13-00563	0	0	0.293638626650328	0.203885770706856	0.502475602642816	0	0	0	0	0	0.183383424854854	1.06088480991087
13-00572	0.0596018098132753	0.00828329454938112	0	0.239992288997016	0	0.0118262609729316	0.680296345667396	0	0	0	0.776927712585386	0.734442641546904
13-00573	0.0626923384454523	0.0810660780584749	0	0.170632335477621	0.621554685949571	0	0	0	0.0640545620688808	0	0.0995554783534898	1.09817570970343
13-00578	0.0927579299901994	0.153661145932891	0.00620238003022025	0	0.643746244779231	0.0854563219535754	0	0	0.018175977313883	0	0.412103078039107	0.947818434191845
13-00581	0.000731344485071814	0.0656116245133061	0.611245378514559	0.194505268679593	0.0504759818008326	0.0391955624370407	0.038234839569597	0	0	0	0.684682339096764	0.732850745126743
13-00593	0	0.104111908550726	0.504768342379026	0.167989245267671	0.223130503802576	0	0	0	0	0	0.450005934546055	0.930433339125254
13-00601	0	0.272888858996573	0.348654542565572	0.28683048658964	0.0916261118482146	0	0	0	0	0	0.445748591283978	0.942190343697935
13-00602	0.00428666445195652	0	0.467080628868454	0.0249704223432466	0.503662284336342	0	0	0	0	0	0.49478685159625	0.894005253276645
13-00615	0	0.0298994211446654	0.254105169186962	0	0.683070927980796	0	0	0	0.0329244816875767	0	0.436963505832954	0.926504840040711
13-00619	0.027128371404748	0	0	0	0.535202708906466	0.38980788240254	0	0.0452867568774853	0.00257428040876003	0	0.558622347899596	0.836632210655293
13-00625	0	0.0167164287378703	0.631864408547457	0.0180969555654187	0.0831082093446513	0.129911591493982	0	0	0.120302406310621	0	0.504561120547363	0.896681976752223
13-00650	0	0	0.164858008450232	0.0358568165452846	0.760845003914909	0	0	0	0.0384401710895748	0	0.642251930418772	0.765334970164371
13-00655	0	0.20712517171473	0	0.200097057992657	0.548145095096594	0	0	0	0.0446326751960189	0	0.0733104572042761	1.11455210517455
