Mixture	AML_blast	CMP	GMP	HSC	LPC	LSC	MEP	MPP	RApos	P-value	Correlation	RMSE
TCGA-AB-2955	0	0.0280574868456193	0.304494021984708	0	0.0478139398626099	0.467342616157816	0.0859336523479069	0.0663582828013399	0	0	0.724192824715065	0.691594632119444
TCGA-AB-2975	0	0	0.441433768612071	0	0.462198031724303	0	0	0.0963681996636265	0	0	0.675472115790746	0.736371201402145
TCGA-AB-2976	0	0.159420033436363	0	0.0810071528454785	0.735354645054625	0	0	0	0.0242181686635337	0	0.169592621618787	1.0884558628702
TCGA-AB-2933	0	0.043676501216703	0.486672365488552	0.0811231272186688	0.0811833119038697	0.117858424078528	0.0573060563254723	0	0.132180213768206	0	0.182578067457275	1.10613763953046
TCGA-AB-2883	0	0.0260575539380998	0.708795241400979	0.136967960700119	0.127741083358863	0	0.000438160601939601	0	0	0	0.363813484738686	1.02766404350324
TCGA-AB-2978	0	0.248927501141411	0.452372751247486	0	0.259846554377541	0	0	0.0388531932335617	0	0	0.433274609807801	0.987950231141853
TCGA-AB-2980	0	0.13384007444629	0.388377261918843	0.244131498471712	0.112783129190388	0	0.120868035972767	0	0	0	0.810438829393275	0.588076738713804
TCGA-AB-2942	0	0.0160652708619786	0.565631424488347	0.0108258723841822	0.385090648751154	0.0223867835143379	0	0	0	0	0.480458383196097	0.919590090867033
TCGA-AB-2876	0	0.321217650146429	0.205081401818395	0.13877521089958	0.0359573561726028	0.282509936033063	0	0	0.01645844492993	0	0.528605563289989	0.874150121928211
TCGA-AB-2878	0	0.419480910631534	0.176884773331008	0.234296236155483	0.0638044794091776	0.0407921749357775	0.0588698151121393	0	0.00587161042488134	0	0.727945085199599	0.702696918017949
TCGA-AB-2893	0	0.00436348209801812	0.0903121089671859	0.201268999283152	0.684944028571242	0	0	0	0.019111381080402	0	0.0455517884246724	1.13682960397454
TCGA-AB-2983	0.054546522458292	0.127947670990613	0.0641944480608306	0	0.265810114423702	0.0992693989236236	0.0363872225801099	0.0998645560197733	0.251980066543055	0	0.212415186522135	1.03388819258972
TCGA-AB-2894	0.316175501100758	0.160925113818924	0.0125734456367021	0.261085398328644	0.248045825534177	0	0	0	0.00119471558079493	0	0.602922765304769	0.802907146245104
TCGA-AB-2937	0	0.0263652461980696	0.391040496396557	0.188694808014019	0.363068373842084	0.0186664409739459	0.0121646345753241	0	0	0	0.696801868146686	0.719606530492393
TCGA-AB-2984	0	0.0302422734084029	0.601121503774061	0.053285122589322	0.291778115936325	0	0.0235729842918884	0	0	0	0.730666166522108	0.683367412606383
TCGA-AB-2985	0.309356307068673	0.0579361336161151	0.0366440233501425	0.185293340828035	0.386601641264016	0	0	0	0.0241685538730185	0	0.067720451510796	1.15304255903326
TCGA-AB-2986	0.00259946082476697	0.299989926067606	0	0.10256050563472	0.564999587757498	0	0	0	0.0298505197154086	0	0.58467287814173	0.815158794117825
TCGA-AB-2987	0.329058833836719	0	0	0.132985677547114	0.160531521882778	0.15567300661045	0.0502594889682027	0	0.171491471154736	0	0.0693757947326101	1.1377600587739
TCGA-AB-2991	0	0.028556245186977	0.642829427469099	0.138351981796506	0.163918348500297	0	0.0263439970471208	0	0	0	0.74238517727156	0.669808994057159
TCGA-AB-2820	0.32298868524636	0.252374568086637	0	0	0	0.134473697731778	0	0	0.290163048935226	0	0.674681009277387	0.744939181883544
TCGA-AB-2992	0	0.0712564719403778	0.698518192776928	0.127238908984826	0	0.0586044689068717	0.0443819573909966	0	0	0	0.665578947275002	0.769088646202888
TCGA-AB-2993	0	0.0868758352262307	0.261116606499508	0.0703309851503504	0.53027439226377	0.0514021808601407	0	0	0	0	0.571361244609469	0.823714591578236
TCGA-AB-2994	0	0.0900862009594016	0.57343273358317	0.186534339943218	0.149946725514211	0	0	0	0	0	0.703895376984749	0.710466550533796
TCGA-AB-2821	0	0.0929344731054484	0.471845366276168	0.23619238455694	0.115214966154387	0.013716677435485	0.0606831704692137	0	0.00941296200235759	0	0.556136484159321	0.84443389967662
TCGA-AB-2995	0.0346109955219465	0.363572475507028	0	0.285488837115961	0	0.0967758824739194	0.192554162319094	0	0.0269976470620521	0	0.784968725620906	0.630453517676095
TCGA-AB-2996	0	0.169989760438463	0.434916640654742	0.193727473514938	0.086379215559667	0.0504056882840784	0.0645812215481123	0	0	0	0.441195053720315	0.954827650715524
TCGA-AB-2925	0	0.0164803688866924	0.553291771248529	0.167192810945227	0.263035048919552	0	0	0	0	0	0.21547606344964	1.08774532939312
TCGA-AB-2870	0	0.016290887436826	0.595591308884922	0	0.388117803678253	0	0	0	0	0	0.521458006295313	0.890385995812261
TCGA-AB-2884	0.0390083941179064	0.109277183861782	0.366660092867209	0	0.268249245287584	0	0	0.216805083865518	0	0	0.255055081774565	1.0443967472587
TCGA-AB-2929	0.103435694975333	0.201955296485338	0	0.462319324378129	0	0.0662913798427586	0.0664408055177484	0	0.0995574988006927	0	0.645124247335682	0.763885513549857
TCGA-AB-2950	0	0.0278915403723745	0.497959604765189	0.103411760245207	0.313071037145155	0	0.0576660574720734	0	0	0	0.697018862886833	0.716423365766552
TCGA-AB-2877	0	0.00793877471762933	0.463606023789993	0.126152149015625	0.402303052476753	0	0	0	0	0	0.523741780367886	0.8633174752896
TCGA-AB-2880	0	0.0243393287172393	0.538506737169589	0.0282125335856118	0.342923967196128	0.0519021091914255	0.0141153241400066	0	0	0	0.588255870533421	0.823169900721322
TCGA-AB-2998	0	0.0358259584725174	0.503156223765816	0	0.45602420252378	0	0	0.00499361523788704	0	0	0.671148771682686	0.743913119754271
TCGA-AB-2874	0	0.0178006437777011	0.473300596258885	0.0736794987299574	0.435219261233457	0	0	0	0	0	0.669421974153593	0.742392046949278
TCGA-AB-2890	0.217570731311049	0.11983331630393	0	0.352714708681789	0	0.0829754168623811	0.135291575124835	0	0.091614251716016	0	0.727809817885871	0.686521809466953
TCGA-AB-2885	0.175536886213588	0.245435632716179	0	0.338181652132894	0	0.0946420615764129	0.0531797407140395	0	0.0930240266468868	0	0.735677301025114	0.677577751271028
TCGA-AB-2900	0	0.0867260420390409	0.613872146891683	0	0.299401811069276	0	0	0	0	0	0.548359480015731	0.879233846848361
TCGA-AB-2891	0	0.0155727289231559	0.637697193200638	0.0163874666842322	0.227954382522185	0	0	0	0.10238822866979	0	0.623258090476002	0.793440379354122
TCGA-AB-2898	0.0692097133943956	0.0142631467658288	0.613709855688176	0.226182770882588	0	0.0287811240208515	0.0478533892481599	0	0	0	0.683163708328657	0.734067759954895
TCGA-AB-2901	0.141971995698284	0	0	0.0113323831898566	0.821239677456385	0	0.0254559436554741	0	0	0	0.375224041405939	0.979886511163495
TCGA-AB-2881	0	0.0488149926797018	0.682733022600278	0.00625661592827089	0.252647078256452	0.00954829053529663	0	0	0	0	0.682619215103016	0.746206699332272
TCGA-AB-2873	0.261944188909088	0.218672776679138	0.0385976151064464	0.38384354133774	0	0	0.0832894931387209	0	0.0136523848288671	0	0.133874106437105	1.18534857064795
TCGA-AB-2897	0	0.0302492066954665	0.630484240729435	0	0.339266552575098	0	0	0	0	0	0.712145656269362	0.70689664248731
TCGA-AB-2869	0	0.203171180265389	0.375295502241794	0.0869727357113735	0.334560581781444	0	0	0	0	0	0.574117180135494	0.835687840012999
TCGA-AB-2871	0.152845992762649	0.430055160835477	0	0.332109566496309	0.0144436523936202	0	0.0166018782687495	0	0.053943749243195	0	0.735983066675591	0.688295009101488
TCGA-AB-2895	0.0088167284888634	0.0206706726682271	0.134463346941305	0	0.42556837899545	0.324265367984406	0	0.0862155049217485	0	0	0.541878620755194	0.84451482300472
TCGA-AB-2887	0	0.0738920229418153	0.511613205267783	0	0.0258296444024457	0.189874822248718	0.0985073097883038	0	0.100282995350935	0	0.85671890014122	0.51983329373288
TCGA-AB-2879	0	0	0.443434563740573	0	0.41431089094822	0	0	0.142254545311207	0	0	0.591473483084989	0.807890699498996
TCGA-AB-2889	0	0.0739530424033579	0.389897351867997	0.116026353348967	0.420123252379679	0	0	0	0	0	0.561478559759818	0.833186279371579
TCGA-AB-2875	0	0.0532207276473151	0.382334220214711	0.191258542810548	0.364190875242571	0	0.00899563408485557	0	0	0	0.683724240273532	0.730529198110824
TCGA-AB-2886	0	0.0631913329844981	0.3961144001083	0.124443355254792	0.41625091165241	0	0	0	0	0	0.666401652091992	0.74452125712376
TCGA-AB-2872	0	0.0324324029099594	0.610640629421106	0.062791100245377	0.249310037267081	0	0.0448258301564758	0	0	0	0.683773318303233	0.736562317442732
TCGA-AB-3012	0	0.0428155531995298	0.714234210087295	0.0391280505730387	0.203822186140137	0	0	0	0	0	0.734595755604729	0.686195617537216
