Gene	AML_blast	CMP	GMP	HSC	LPC	LSC	MEP	MPP	RApos
FCRL5	299.197108965714	129.9567084775	229.1980175425	46.8260603181429	48.742967070375	44.748881333875	108.14412027	44.346195145	42.07406566125
GZMH	218.567247017143	86.8690350775	134.486881565	30.1068016617143	14.379452457	47.03038240925	50.2713260925	13.124841608625	20.03325615025
IL2RB	885.909614628571	179.95136412	159.536647485	87.8699491614286	82.08669201	97.38156651125	249.1402315825	84.4550167925	89.4712689325
ABCA7	3542.5074129	1502.9722701	1822.393119475	230.3937623	380.79584505	425.7834983375	2657.99611975	207.21357105	565.90536155
UCN	501.125979028571	74.0189960025	142.9517009675	95.1140976222857	173.31904914	202.51800998975	246.3372581175	102.0630322525	118.7068961825
LAT	1346.80484924286	1060.600802225	359.5059048075	92.77714387	373.75007777	295.38947725	1142.07350435	215.5164687625	121.6778116575
VENTX	198.892906992857	71.74347551	421.195342915	34.2930948114286	23.579358994625	24.484517536625	49.4496950175	30.2186333545	20.02304633075
SH3D20	137.190461905714	12.7435562385	24.0766922315	42.6769563927143	48.790882303125	50.36217717875	18.0030040115	40.352776178875	83.69298169
ARTN	165.572918851429	76.5513437975	59.9306004675	11.2083442558571	128.35948995125	51.07504698	39.025095685	12.538461122	17.85713134575
COL9A3	73.3453115357143	27.8542839625	69.3131304975	24.8170029512857	22.56255997525	17.883748335	25.1479673325	22.268945235875	15.5368021395
C16orf93	1658.23099457143	325.35342885	546.264874175	210.767858271429	1151.1526902375	978.1726697375	441.4536419775	267.915165275	317.531044625
EOMES	436.103308132857	217.71912744	232.082068725	51.7647915774286	47.008046455	71.39428006625	160.628563725	51.6301057325	49.4001986825
CCDC88B	2513.4856018	1747.0356105	2584.8726621	301.143950128571	404.033213015	534.046931475	710.00546565	314.617883825	753.347427175
CCS	3616.23150185714	472.3216127525	525.18399855	717.861275571429	2293.7364203375	1588.6797586	1095.693436275	754.5514039125	1259.417149525
C4orf48	4174.52334528571	1685.5763347	3609.448897	543.476263728571	1479.7317809875	1136.8085784625	1385.14646375	662.8535544125	423.046998525
HIST1H2BD	4209.70172697143	734.9537769125	698.79701225	523.573793642857	2678.03014255	3851.59009603125	518.562944525	575.17455958625	635.591483925
OSBPL5	1556.32274	365.4909581	379.6389590975	184.8675968	805.4539479375	733.136768425	602.37270895	222.916174525	243.84578105
CPT1B	3404.55452825714	1306.005523775	1754.670704475	348.1926958	1049.33931678625	952.31235165	1445.34243085	358.6716606125	477.174504075
C16orf7	1105.71022262857	422.8722489	388.03951984	109.656964274286	251.94930505	153.50951019375	324.654345225	105.50687332875	169.66179535
ZDHHC14	2976.06440528571	1826.483825625	701.5677831125	513.6790836	1024.6669388	760.3667813375	3078.04556425	673.016324975	483.273573725
NPFF	228.939650032857	86.2670667125	79.5489768875	31.167425173	72.85554345875	57.51676724625	114.96761103	56.63118161125	72.7301502025
C20orf85	46.2528613495714	65.00826042375	28.1125946975	9.87466100042857	7.432517922125	9.210115660625	22.7994284525	13.499252023875	6.05257686325
TMEM88	479.772543057143	448.541639975	486.83949875	82.9871890542857	136.084891504375	120.89950082625	120.5431973825	118.1236871475	124.5254612625
FGFR3	212.258083805714	80.4397758775	72.39319456	84.6486488128571	62.763416016875	33.161674550875	169.510988775	53.072157225	74.0260162075
PIK3R6	1161.31246834286	283.991118015	368.401432725	200.5830988	635.3969748375	656.8978094375	246.957430165	214.47268625	364.05614305
ALS2CR12	84.52087378	142.0126926075	54.9016450125	11.4069353634286	15.000002333	19.399401654125	58.791295865	10.913165874625	13.20001779075
BCO2	338.065702314286	36.644647845	150.932142895	73.0427781157143	141.3492408315	173.9733570375	203.8358623775	74.38342344625	111.76414814
C7orf59	5239.540543	1220.001631775	1705.888577225	820.951679814286	2747.48902475	1864.4669523875	2931.98906375	1003.0450603	1305.51905245
FAM116B	500.3025063	76.48842482	145.35319354	79.1944201885714	337.387297675	323.29564815	56.0715759675	89.22199604375	274.5454441975
ZMYND17	594.030984342857	130.8138150325	150.3477431525	73.8721673357143	178.14925544875	193.62196073875	92.8915823775	109.49231384875	117.5070278775
CLC	2987.74277169429	23796.52547875	129.8366302625	32.8390557214286	186.73508411625	65.35330652075	130.0710259	159.4023360575	10.09191348725
PRG2	289.569217846143	6013.75910887625	519.1890944625	42.7034636254286	70.1516599686875	57.853327618375	293.0963066425	44.6283148324375	66.219842936625
PF4	1493.82981771714	6812.26674525	576.0645441075	189.940144401429	129.234496922625	58.7967756995	647.682590725	1798.2682417625	123.2115800675
C3orf35	65.8316529401429	598.4765185	229.928118935	10.2758464568571	29.155049785	23.0815535535	90.99884430675	17.0099692	26.2446168905
HBA2	21888.7631795571	19871.74304275	6161.036581175	248.071524732571	97.85661306375	295.200893105	19394.424201325	132.75137048	101.67890943
